country,roster_name,position,shirt_number,found_in_club_data,club_player_id,club_player_name,club_team_name
Algeria (ALG),MASTIL Melvin,Goalkeeper,1,False,,,
Algeria (ALG),ABADA Achref,Defender,3,False,,,
Algeria (ALG),BELAID Zineddine,Defender,5,False,,,
Algeria (ALG),GOUIRI Amine,Forward,9,True,4435.0,Amine Gouiri,Rennes
Algeria (ALG),HADJ MOUSSA,Forward,11,False,,,
Algeria (ALG),BENBOUALI Nadhir,Forward,12,False,,,
Algeria (ALG),HADJAM Jaouen,Defender,13,True,45089.0,Jaouen Hadjam,Nantes
Algeria (ALG),BENBOT Oussama,Goalkeeper,16,False,,,
Algeria (ALG),BELGHALI Ra,Defender,17,False,,,
Algeria (ALG),BOULBINA Adil,Forward,20,False,,,
Algeria (ALG),MAZA Ibrahim,Midfielder,22,False,,,
Algeria (ALG),ZIDANE Luca,Goalkeeper,23,False,,,
Algeria (ALG),TITRAOUI Yassine,Midfielder,24,False,,,
Algeria (ALG),GHEDJEMIS Fares,Forward,25,False,,,
Algeria (ALG),CHERGUI Samir,Defender,26,False,,,
Argentina (ARG),MUSSO Juan,Goalkeeper,1,False,,,
Argentina (ARG),SENESI Marcos,Defender,2,False,,,
Argentina (ARG),BARCO Valentin,Midfielder,8,False,,,
Argentina (ARG),RULLI Geronimo,Goalkeeper,12,True,6694.0,Gerónimo Rulli,Villarreal
Argentina (ARG),SIMEONE Giuliano,Forward,17,False,,,
Argentina (ARG),PAZ Nico,Forward,18,False,,,
Argentina (ARG),LOPEZ Jose,Forward,21,True,49302.0,José Manuel Cabrera López,Villarreal
Argentina (ARG),MEDINA Facundo,Defender,25,True,30415.0,Facundo Axel Medina,Lens
Australia (AUS),CIRCATI Alessandro,Defender,3,False,,,
Australia (AUS),ITALIANO Jacob,Defender,4,False,,,
Australia (AUS),BOS Jordan,Defender,5,False,,,
Australia (AUS),GERIA Jason,Defender,6,False,,,
Australia (AUS),METCALFE Connor,Midfielder,8,False,,,
Australia (AUS),TOURE Mohamed,Forward,9,False,,,
Australia (AUS),IZZO Paul,Goalkeeper,12,False,,,
Australia (AUS),ONEILL Aiden,Midfielder,13,False,,,
Australia (AUS),DEVLIN Cameron,Midfielder,14,False,,,
Australia (AUS),TREWIN Kai,Defender,15,False,,,
Australia (AUS),IRANKUNDA Nestory,Forward,17,False,,,
Australia (AUS),BEACH Patrick,Goalkeeper,18,False,,,
Australia (AUS),VOLPATO Cristian,Forward,20,False,,,
Australia (AUS),BURGESS Cameron,Defender,21,False,,,
Australia (AUS),VELUPILLAY Nishan,Forward,23,False,,,
Australia (AUS),OKON-ENGSTLER Paul,Midfielder,24,False,,,
Australia (AUS),HERRINGTON Lucas,Defender,25,False,,,
Australia (AUS),YENGI Tete,Forward,26,False,,,
Austria (AUT),SCHLAGER Alexander,Goalkeeper,1,False,,,
Austria (AUT),AFFENGRUBER David,Defender,2,False,,,
Austria (AUT),WIEGELE Florian,Goalkeeper,12,False,,,
Austria (AUT),CHUKWUEMEKA Carney,Midfielder,17,False,,,
Austria (AUT),LJUBICIC Dejan,Midfielder,19,True,8623.0,Dejan Ljubicic,FC Köln
Austria (AUT),FRIEDL Marco,Defender,23,True,15854.0,Marco Friedl,Werder Bremen
Austria (AUT),WANNER Paul,Midfielder,24,False,,,
Austria (AUT),SVOBODA Michael,Defender,25,False,,,
Belgium (BEL),MECHELE Brandon,Defender,4,False,,,
Belgium (BEL),DE CUYPER,Defender,5,False,,,
