player_id,player_name,team_name,Ball Receipt*,Ball Recovery,Block,Carry,Clearance,Dispossessed,Dribble,Dribbled Past,Duel,Error,Foul Committed,Foul Won,Goal Keeper,Interception,Miscontrol,Offside,Pass,Player Off,Player On,Pressure,Shield,Shot,match_id,Bad Behaviour,Own Goal Against,50/50,Own Goal For
3054,Fernando Luiz Roza,Brazil,7,2,1,8,0,0,1,1,0,0.0,2,1,0,0,0,0.0,13,0.0,0.0,9,0.0,2,7533,,,,
3063,Danilo Luiz da Silva,Brazil,43,6,0,46,1,0,1,3,2,0.0,0,1,0,0,0,0.0,57,0.0,0.0,19,0.0,0,7533,,,,
3202,Gabriel Fernando de Jesus,Brazil,29,5,1,26,0,1,6,1,1,0.0,2,0,0,3,3,0.0,20,0.0,0.0,41,0.0,1,7533,,,,
3295,Thiago Emiliano da Silva,Brazil,44,4,1,44,3,0,0,0,1,0.0,1,0,0,4,0,0.0,55,0.0,0.0,4,0.0,2,7533,,,,
3472,Willian Borges da Silva,Brazil,47,3,2,41,0,1,3,3,0,0.0,2,1,0,1,0,0.0,41,0.0,0.0,30,0.0,2,7533,,,,
3500,Granit Xhaka,Switzerland,52,1,2,49,1,1,0,5,2,0.0,3,1,0,1,0,0.0,59,0.0,0.0,23,0.0,0,7533,,,,
3501,Philippe Coutinho Correia,Brazil,74,5,2,70,0,1,1,1,0,0.0,2,1,0,0,2,0.0,76,0.0,0.0,29,0.0,4,7533,,,,
3533,Xherdan Shaqiri,Switzerland,56,5,1,49,0,0,5,1,3,0.0,0,2,0,2,1,0.0,47,0.0,0.0,30,0.0,1,7533,,,,
3535,Roberto Firmino Barbosa de Oliveira,Brazil,17,0,0,8,0,1,1,0,1,0.0,1,0,0,1,1,0.0,5,0.0,0.0,7,0.0,2,7533,,,,
4320,Neymar da Silva Santos Junior,Brazil,68,3,0,63,0,6,13,0,1,0.0,0,11,0,0,3,1.0,40,0.0,0.0,20,0.0,4,7533,,,,
5537,Fabian Lukas Schär,Switzerland,44,4,3,49,7,0,0,1,2,1.0,1,0,0,3,0,0.0,58,1.0,1.0,10,0.0,0,7533,,,,
