country,roster_name,position,shirt_number,found_in_club_data,club_player_id,club_player_name,club_team_name
Algeria (ALG),GOUIRI Amine,Forward,9,True,4435.0,Amine Gouiri,Rennes
Algeria (ALG),HADJAM Jaouen,Defender,13,True,45089.0,Jaouen Hadjam,Nantes
Argentina (ARG),RULLI Geronimo,Goalkeeper,12,True,6694.0,Gerónimo Rulli,Villarreal
Argentina (ARG),LOPEZ Jose,Forward,21,True,49302.0,José Manuel Cabrera López,Villarreal
Argentina (ARG),MEDINA Facundo,Defender,25,True,30415.0,Facundo Axel Medina,Lens
Austria (AUT),LJUBICIC Dejan,Midfielder,19,True,8623.0,Dejan Ljubicic,FC Köln
Austria (AUT),FRIEDL Marco,Defender,23,True,15854.0,Marco Friedl,Werder Bremen
Bosnia And Herzegovina (BIH),KOLASINAC Sead,Defender,5,True,3510.0,Sead Kolašinac,Olympique de Marseille
Bosnia And Herzegovina (BIH),DEMIROVIC Ermedin,Forward,10,True,6874.0,Ermedin Demirović,Augsburg
Brazil (BRA),RAYAN Rayan,Forward,26,True,32649.0,Mathis Rayan Cherki,Lyon
Cabo Verde (CPV),NUNO DA,Midfielder,21,True,3216.0,Nuno Miguel da Costa Jóia,Auxerre
Colombia (COL),PUERTA Gustavo,Defender,14,True,261630.0,Gustavo Adolfo Puerta Molano,Bayer Leverkusen
Colombia (COL),SUAREZ Luis,Forward,25,True,24093.0,Luis Javier Suárez Charris,Granada
Côte D'Ivoire (CIV),WAHI Elye,Forward,12,True,61095.0,Sepe Elye Wahi,Montpellier
Côte D'Ivoire (CIV),DOUE Guela,Defender,17,True,44732.0,Guela Doué,Rennes
Côte D'Ivoire (CIV),AGBADOU Emmanuel,Defender,20,True,49705.0,Emmanuel Agbadou,Stade de Reims
Côte D'Ivoire (CIV),GUESSAND Evann,Forward,22,True,45189.0,Evann Guessand,Nantes
Côte D'Ivoire (CIV),LAFONT Alban,Goalkeeper,23,True,2981.0,Alban Lafont,Nantes
England (ENG),SPENCE Djed,Defender,25,True,33241.0,Djed Spence,Rennes
France (FRA),SAMBA Brice,Goalkeeper,1,True,4893.0,Brice Samba,Lens
France (FRA),GUSTO Malo,Defender,2,True,39260.0,Malo Gusto,Lyon
France (FRA),ZAIRE-EMERY Warren,Midfielder,18,True,144059.0,Warren Zaire Emery,Paris Saint-Germain
France (FRA),DOUE Desire,Forward,20,True,214013.0,Désiré Doué,Rennes
