country,country_clean,roster_size,matched_v01,unmatched_v01,coverage_v01,matched_v02,unmatched_v02,coverage_v02,matched_gain,coverage_gain
France (FRA),France,26,15,11,0.5769230769230769,22,4,0.8461538461538461,7,0.2692307692307693
Germany (GER),Germany,26,15,11,0.5769230769230769,22,4,0.8461538461538461,7,0.2692307692307693
Côte D'Ivoire (CIV),Côte D'Ivoire,26,13,13,0.5,17,9,0.6538461538461539,4,0.15384615384615385
Haiti (HAI),Haiti,26,0,26,0.0,3,23,0.11538461538461539,3,0.11538461538461539
Tunisia (TUN),Tunisia,26,8,18,0.3076923076923077,11,15,0.4230769230769231,3,0.11538461538461536
Senegal (SEN),Senegal,26,16,10,0.6153846153846154,19,7,0.7307692307692307,3,0.11538461538461531
Argentina (ARG),Argentina,26,18,8,0.6923076923076923,20,6,0.7692307692307693,2,0.07692307692307698
Austria (AUT),Austria,26,18,8,0.6923076923076923,20,6,0.7692307692307693,2,0.07692307692307698
Colombia (COL),Colombia,26,18,8,0.6923076923076923,20,6,0.7692307692307693,2,0.07692307692307698
Spain (ESP),Spain,26,19,7,0.7307692307692307,21,5,0.8076923076923077,2,0.07692307692307698
Algeria (ALG),Algeria,26,11,15,0.4230769230769231,13,13,0.5,2,0.07692307692307693
Bosnia And Herzegovina (BIH),Bosnia And Herzegovina,26,0,26,0.0,2,24,0.07692307692307693,2,0.07692307692307693
Norway (NOR),Norway,26,0,26,0.0,2,24,0.07692307692307693,2,0.07692307692307693
Paraguay (PAR),Paraguay,26,10,16,0.38461538461538464,12,14,0.46153846153846156,2,0.07692307692307693
Sweden (SWE),Sweden,26,2,24,0.07692307692307693,4,22,0.15384615384615385,2,0.07692307692307693
Portugal (POR),Portugal,26,20,6,0.7692307692307693,22,4,0.8461538461538461,2,0.07692307692307687
Netherlands (NED),Netherlands,26,15,11,0.5769230769230769,16,10,0.6153846153846154,1,0.03846153846153855
Switzerland (SUI),Switzerland,26,19,7,0.7307692307692307,20,6,0.7692307692307693,1,0.03846153846153855
Cabo Verde (CPV),Cabo Verde,26,14,12,0.5384615384615384,15,11,0.5769230769230769,1,0.038461538461538436
Congo DR (COD),Congo DR,26,16,10,0.6153846153846154,17,9,0.6538461538461539,1,0.038461538461538436
England (ENG),England,26,16,10,0.6153846153846154,17,9,0.6538461538461539,1,0.038461538461538436
Morocco (MAR),Morocco,26,8,18,0.3076923076923077,9,17,0.34615384615384615,1,0.038461538461538436
Türkiye (TUR),Türkiye,26,21,5,0.8076923076923077,22,4,0.8461538461538461,1,0.038461538461538436
Australia (AUS),Australia,26,8,18,0.3076923076923077,8,18,0.3076923076923077,0,0.0
Belgium (BEL),Belgium,26,15,11,0.5769230769230769,15,11,0.5769230769230769,0,0.0
Brazil (BRA),Brazil,26,19,7,0.7307692307692307,19,7,0.7307692307692307,0,0.0
Canada (CAN),Canada,26,19,7,0.7307692307692307,19,7,0.7307692307692307,0,0.0
Croatia (CRO),Croatia,26,15,11,0.5769230769230769,15,11,0.5769230769230769,0,0.0
Curaçao (CUW),Curaçao,26,0,26,0.0,0,26,0.0,0,0.0
Czechia (CZE),Czechia,26,19,7,0.7307692307692307,19,7,0.7307692307692307,0,0.0
Ecuador (ECU),Ecuador,26,16,10,0.6153846153846154,16,10,0.6153846153846154,0,0.0
Egypt (EGY),Egypt,26,12,14,0.46153846153846156,12,14,0.46153846153846156,0,0.0
Ghana (GHA),Ghana,26,12,14,0.46153846153846156,12,14,0.46153846153846156,0,0.0
IR Iran (IRN),IR Iran,26,12,14,0.46153846153846156,12,14,0.46153846153846156,0,0.0
Iraq (IRQ),Iraq,26,0,26,0.0,0,26,0.0,0,0.0
Japan (JPN),Japan,26,12,14,0.46153846153846156,12,14,0.46153846153846156,0,0.0
Jordan (JOR),Jordan,26,0,26,0.0,0,26,0.0,0,0.0
Korea Republic (KOR),Korea Republic,26,11,15,0.4230769230769231,11,15,0.4230769230769231,0,0.0
Mexico (MEX),Mexico,26,17,9,0.6538461538461539,17,9,0.6538461538461539,0,0.0
New Zealand (NZL),New Zealand,26,0,26,0.0,0,26,0.0,0,0.0
Panama (PAN),Panama,26,17,9,0.6538461538461539,17,9,0.6538461538461539,0,0.0
Qatar (QAT),Qatar,26,12,14,0.46153846153846156,12,14,0.46153846153846156,0,0.0
Saudi Arabia (KSA),Saudi Arabia,26,9,17,0.34615384615384615,9,17,0.34615384615384615,0,0.0
Scotland (SCO),Scotland,26,15,11,0.5769230769230769,15,11,0.5769230769230769,0,0.0
South Africa (RSA),South Africa,26,11,15,0.4230769230769231,11,15,0.4230769230769231,0,0.0
USA (USA),USA,26,16,10,0.6153846153846154,16,10,0.6153846153846154,0,0.0
Uruguay (URU),Uruguay,26,18,8,0.6923076923076923,18,8,0.6923076923076923,0,0.0
Uzbekistan (UZB),Uzbekistan,26,0,26,0.0,0,26,0.0,0,0.0
