country_clean,squad_size,matched_players,unmatched_players,coverage,50/50,Bad Behaviour,Ball Receipt*,Ball Recovery,Block,Carry,Clearance,Dispossessed,Dribble,Dribbled Past,Duel,Foul Committed,Foul Won,Goal Keeper,Interception,Miscontrol,Pass,Player Off,Player On,Pressure,Shield,Shot,Error,Offside,Own Goal Against,Camera On,Own Goal For
Algeria,26,13,13,0.5,9.0,1.0,1753.0,135.0,56.0,1570.0,51.0,35.0,37.0,22.0,87.0,54.0,43.0,0.0,31.0,31.0,1875.0,3.0,3.0,471.0,2.0,33.0,2.0,2.0,1.0,0.0,0.0
Argentina,26,20,6,0.7692307692307693,91.0,28.0,26859.0,1799.0,591.0,23232.0,449.0,632.0,1170.0,329.0,963.0,444.0,801.0,911.0,313.0,507.0,27016.0,18.0,18.0,4893.0,19.0,1022.0,11.0,5.0,2.0,0.0,0.0
Australia,26,8,18,0.3076923076923077,8.0,1.0,1538.0,178.0,86.0,1206.0,74.0,55.0,71.0,42.0,111.0,47.0,42.0,135.0,32.0,58.0,1666.0,1.0,1.0,538.0,2.0,23.0,0.0,0.0,1.0,0.0,0.0
Austria,26,20,6,0.7692307692307693,43.0,4.0,4846.0,508.0,222.0,4088.0,156.0,126.0,122.0,109.0,347.0,152.0,120.0,75.0,115.0,119.0,4941.0,3.0,3.0,1916.0,6.0,139.0,3.0,1.0,0.0,0.0,0.0
Belgium,26,15,11,0.5769230769230769,23.0,1.0,5399.0,509.0,159.0,4688.0,121.0,120.0,192.0,82.0,222.0,144.0,125.0,324.0,70.0,147.0,5630.0,2.0,2.0,1477.0,5.0,142.0,4.0,1.0,0.0,0.0,0.0
Bosnia And Herzegovina,26,2,24,0.07692307692307693,3.0,0.0,802.0,96.0,42.0,626.0,41.0,12.0,28.0,19.0,92.0,42.0,22.0,0.0,29.0,20.0,1066.0,0.0,0.0,388.0,5.0,19.0,0.0,1.0,0.0,0.0,0.0
Brazil,26,18,8,0.6923076923076923,30.0,9.0,8966.0,704.0,240.0,7968.0,224.0,217.0,386.0,115.0,386.0,185.0,281.0,163.0,126.0,195.0,9219.0,12.0,12.0,1902.0,10.0,235.0,4.0,5.0,0.0,0.0,0.0
Cabo Verde,26,15,11,0.5769230769230769,8.0,1.0,1858.0,209.0,81.0,1526.0,79.0,51.0,73.0,36.0,125.0,63.0,61.0,90.0,40.0,64.0,1878.0,6.0,6.0,563.0,5.0,56.0,1.0,0.0,0.0,0.0,0.0
Canada,26,19,7,0.7307692307692307,37.0,6.0,4030.0,470.0,200.0,3434.0,176.0,135.0,201.0,76.0,283.0,151.0,126.0,144.0,90.0,170.0,4230.0,8.0,8.0,1712.0,3.0,136.0,1.0,1.0,0.0,0.0,0.0
Colombia,26,20,6,0.7692307692307693,41.0,6.0,4418.0,498.0,166.0,3906.0,147.0,103.0,162.0,84.0,332.0,156.0,153.0,149.0,88.0,133.0,4988.0,6.0,6.0,1396.0,10.0,124.0,4.0,5.0,0.0,0.0,0.0
