roster_index,country,roster_name,candidate_player_id,candidate_name,candidate_team,candidate_count,decision,notes
8,Algeria (ALG),GOUIRI Amine,4435,Amine Gouiri,OGC Nice | Rennes,1,,
12,Algeria (ALG),HADJAM Jaouen,45089,Jaouen Hadjam,Nantes,1,,
37,Argentina (ARG),RULLI Geronimo,6694,Gerónimo Rulli,Real Sociedad,1,,
50,Argentina (ARG),MEDINA Facundo,30415,Facundo Axel Medina,Lens,1,,
96,Austria (AUT),LJUBICIC Dejan,8623,Dejan Ljubicic,FC Köln,1,,
100,Austria (AUT),FRIEDL Marco,15854,Marco Friedl,Werder Bremen,1,,
134,Bosnia And Herzegovina (BIH),KOLASINAC Sead,3510,Sead Kolašinac,Olympique de Marseille | Schalke 04,1,,
139,Bosnia And Herzegovina (BIH),DEMIROVIC Ermedin,6874,Ermedin Demirović,Augsburg | Deportivo Alavés,1,,
181,Brazil (BRA),RAYAN Rayan,4127,David Raya Martin,Spain,5,,
181,Brazil (BRA),RAYAN Rayan,7317,Rayan Ny Aina Arnaldo Raveloson,Auxerre,5,,
181,Brazil (BRA),RAYAN Rayan,12111,Rayan Aït Nouri,Algeria,5,,
181,Brazil (BRA),RAYAN Rayan,32649,Mathis Rayan Cherki,Lyon,5,,
181,Brazil (BRA),RAYAN Rayan,384888,Ray Kendry Páez Andrade,Ecuador,5,,
202,Cabo Verde (CPV),NUNO DA,3216,Nuno Miguel da Costa Jóia,Auxerre,1,,
247,Colombia (COL),PUERTA Gustavo,261630,Gustavo Adolfo Puerta Molano,Bayer Leverkusen,1,,
258,Colombia (COL),SUAREZ Luis,5246,Luis Alberto Suárez Díaz,Atlético Madrid | Barcelona | Uruguay,2,,
258,Colombia (COL),SUAREZ Luis,24093,Luis Javier Suárez Charris,Granada,2,,
266,Congo DR (COD),MBUKU Nathanael,29962,Nathanaël Mbuku,Stade de Reims,1,,
375,Côte D'Ivoire (CIV),WAHI Elye,61095,Sepe Elye Wahi,Montpellier,1,,
383,Côte D'Ivoire (CIV),AGBADOU Emmanuel,49705,Emmanuel Agbadou,Stade de Reims,1,,
385,Côte D'Ivoire (CIV),GUESSAND Evann,45189,Evann Guessand,Nantes,1,,
386,Côte D'Ivoire (CIV),LAFONT Alban,2981,Alban Lafont,Nantes | Toulouse,1,,
466,England (ENG),SPENCE Djed,33241,Djed Spence,Rennes,1,,
468,France (FRA),SAMBA Brice,4893,Brice Samba,Lens,1,,
469,France (FRA),GUSTO Malo,39260,Malo Gusto,Lyon,1,,
485,France (FRA),ZAIRE-EMERY Warren,144059,Warren Zaire Emery,Paris Saint-Germain,1,,
487,France (FRA),DOUE Desire,214013,Désiré Doué,Rennes,1,,
491,France (FRA),CHERKI Rayan,32649,Mathis Rayan Cherki,Lyon,1,,
492,France (FRA),AKLIOUCHE Maghnes,144884,Maghnes Akliouche,AS Monaco,1,,
493,France (FRA),LACROIX Maxence,22314,Maxence Lacroix,Wolfsburg,1,,
498,Germany (GER),PAVLOVIC Aleksandar,140589,Aleksandar Pavlović,Bayern Munich,1,,
502,Germany (GER),LEWELING Jamie,28805,Jamie Leweling,VfB Stuttgart,1,,
504,Germany (GER),WOLTEMADE Nick,34870,Nick Woltemade,Werder Bremen,1,,
505,Germany (GER),BAUMANN Oliver,8393,Oliver Baumann,Hoffenheim,1,,
509,Germany (GER),STILLER Angelo,39360,Angelo Stiller,VfB Stuttgart,1,,
513,Germany (GER),AMIRI Nadiem,8403,Nadiem Amiri,Bayer Leverkusen | FSV Mainz 05 | Hoffenheim,1,,
516,Germany (GER),NMECHA Felix,49665,Felix Kalu Nmecha,Borussia Dortmund,1,,
546,Haiti (HAI),PLACIDE Johny,3980,Johny Placide,Stade de Reims,1,,
555,Haiti (HAI),BELLEGARDE Jean-Ricner,19718,Jean-Ricner Bellegarde,Strasbourg,1,,
567,Haiti (HAI),DUVERNE Jean-Kevin,7273,Jean-Kevin Duverne,Stade Brestois,1,,
582,IR Iran (IRN),ALIPOUR Ali,4063,Ahmed Elsayed Ali Elsayed Hegazy,Egypt,15,,
