match_id,match_date,kick_off,year,home_team,away_team,home_score,away_score,competition_stage
7525,2018-06-14,15:00:00.000,2018,Russia,Saudi Arabia,5,0,Group Stage
7578,2018-06-15,12:00:00.000,2018,Egypt,Uruguay,0,1,Group Stage
7577,2018-06-15,15:00:00.000,2018,Morocco,Iran,0,1,Group Stage
7576,2018-06-15,18:00:00.000,2018,Portugal,Spain,3,3,Group Stage
7530,2018-06-16,10:00:00.000,2018,France,Australia,2,1,Group Stage
7531,2018-06-16,13:00:00.000,2018,Argentina,Iceland,1,1,Group Stage
7532,2018-06-16,16:00:00.000,2018,Peru,Denmark,0,1,Group Stage
7529,2018-06-16,19:00:00.000,2018,Croatia,Nigeria,2,0,Group Stage
7535,2018-06-17,12:00:00.000,2018,Costa Rica,Serbia,0,1,Group Stage
7534,2018-06-17,15:00:00.000,2018,Germany,Mexico,0,1,Group Stage
7533,2018-06-17,18:00:00.000,2018,Brazil,Switzerland,1,1,Group Stage
7538,2018-06-18,12:00:00.000,2018,Sweden,South Korea,1,0,Group Stage
7536,2018-06-18,15:00:00.000,2018,Belgium,Panama,3,0,Group Stage
7537,2018-06-18,18:00:00.000,2018,Tunisia,England,1,2,Group Stage
7541,2018-06-19,12:00:00.000,2018,Colombia,Japan,1,2,Group Stage
7539,2018-06-19,15:00:00.000,2018,Poland,Senegal,1,2,Group Stage
7540,2018-06-19,18:00:00.000,2018,Russia,Egypt,3,1,Group Stage
7542,2018-06-20,12:00:00.000,2018,Portugal,Morocco,1,0,Group Stage
7544,2018-06-20,15:00:00.000,2018,Uruguay,Saudi Arabia,1,0,Group Stage
7543,2018-06-20,18:00:00.000,2018,Iran,Spain,0,1,Group Stage
7547,2018-06-21,12:00:00.000,2018,Denmark,Australia,1,1,Group Stage
7546,2018-06-21,15:00:00.000,2018,France,Peru,1,0,Group Stage
7545,2018-06-21,18:00:00.000,2018,Argentina,Croatia,0,3,Group Stage
7548,2018-06-22,12:00:00.000,2018,Brazil,Costa Rica,2,0,Group Stage
7549,2018-06-22,15:00:00.000,2018,Nigeria,Iceland,2,0,Group Stage
7550,2018-06-22,18:00:00.000,2018,Serbia,Switzerland,1,2,Group Stage
7552,2018-06-23,12:00:00.000,2018,Belgium,Tunisia,5,2,Group Stage
7553,2018-06-23,15:00:00.000,2018,South Korea,Mexico,1,2,Group Stage
7551,2018-06-23,18:00:00.000,2018,Germany,Sweden,2,1,Group Stage
7554,2018-06-24,12:00:00.000,2018,England,Panama,6,1,Group Stage
7556,2018-06-24,15:00:00.000,2018,Japan,Senegal,2,2,Group Stage
7555,2018-06-24,18:00:00.000,2018,Poland,Colombia,0,3,Group Stage
