50/50,Bad Behaviour,Ball Receipt*,Ball Recovery,Block,Carry,Clearance,Dispossessed,Dribble,Dribbled Past,Duel,Error,Foul Committed,Foul Won,Goal Keeper,Interception,Miscontrol,Offside,Own Goal Against,Pass,Player Off,Player On,Pressure,Shield,Shot,player_id,player_name,team_name
0.0,0.0,100,8,0,82,4,4,9,1,3,0.0,4,6,0,1,5,0.0,0.0,71,0.0,0.0,71,0.0,3,2941,Ismaïla Sarr,Senegal
0.0,0.0,59,9,2,53,1,3,9,2,5,0.0,3,7,0,0,2,0.0,0.0,40,0.0,0.0,32,0.0,4,2948,Nabil Fekir,France
0.0,0.0,110,7,0,118,1,2,2,10,7,0.0,5,4,0,2,0,0.0,0.0,114,0.0,0.0,80,0.0,4,2954,Youri Tielemans,Belgium
0.0,0.0,40,5,1,30,0,2,2,0,1,0.0,2,3,0,0,2,0.0,0.0,37,2.0,2.0,31,0.0,2,2974,Saîf-Eddine Khaoui,Tunisia
0.0,0.0,118,8,1,86,0,4,8,3,2,0.0,1,7,0,0,5,0.0,0.0,88,0.0,0.0,27,0.0,4,2995,Ángel Fabián Di María Hernández,Argentina
0.0,0.0,57,7,1,62,4,0,0,0,3,0.0,1,2,0,1,0,0.0,0.0,76,0.0,0.0,5,0.0,0,2999,Presnel Kimpembe,France
1.0,2.0,255,23,4,225,0,15,52,0,9,0.0,1,15,0,4,14,0.0,0.0,173,1.0,1.0,99,0.0,8,3009,Kylian Mbappé Lottin,France
0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,2,0.0,0.0,0,0.0,0,3027,Mathias Jattah-Njie Jørgensen,Denmark
0.0,0.0,78,8,5,84,7,0,0,2,3,0.0,4,3,0,2,0,0.0,0.0,98,0.0,0.0,22,0.0,1,3027,Mathias Jørgensen Jatta,Denmark
0.0,0.0,71,3,3,68,3,0,0,2,2,0.0,3,1,0,0,0,0.0,0.0,78,0.0,0.0,6,0.0,1,3034,Kamil Glik,Poland
0.0,0.0,99,9,6,97,3,2,1,5,7,0.0,7,2,0,2,2,0.0,0.0,110,0.0,0.0,62,0.0,0,3037,Mousa Sidi Yaya Dembélé,Belgium
1.0,0.0,191,22,7,157,1,7,8,6,0,0.0,1,3,0,4,9,0.0,0.0,184,0.0,0.0,95,0.0,12,3043,Christian Dannemann Eriksen,Denmark
0.0,0.0,84,11,4,82,2,1,1,5,3,1.0,4,3,0,5,1,0.0,1.0,125,1.0,1.0,41,0.0,3,3054,Fernando Luiz Roza,Brazil
0.0,0.0,127,8,2,78,3,2,10,4,4,0.0,2,8,0,2,4,2.0,0.0,67,0.0,0.0,30,0.0,6,3058,Javier Hernández Balcázar,Mexico
0.0,0.0,43,6,0,46,1,0,1,3,2,0.0,0,1,0,0,0,0.0,0.0,57,0.0,0.0,19,0.0,0,3063,Danilo Luiz da Silva,Brazil
0.0,0.0,225,6,5,167,2,1,7,3,3,0.0,3,0,0,3,3,0.0,0.0,213,0.0,0.0,76,0.0,10,3064,David Josué Jiménez Silva,Spain
0.0,1.0,270,22,8,255,17,2,2,7,15,0.0,6,3,0,5,0,0.0,0.0,352,0.0,0.0,110,0.0,2,3077,Jan Vertonghen,Belgium
1.0,0.0,132,9,3,100,4,7,17,3,2,0.0,3,5,0,1,7,0.0,0.0,79,0.0,0.0,67,0.0,14,3083,Heung-Min Son,South Korea
2.0,0.0,337,33,6,294,5,12,11,8,9,0.0,5,4,0,6,8,0.0,0.0,350,0.0,0.0,153,1.0,12,3089,Kevin De Bruyne,Belgium
0.0,2.0,235,19,6,235,11,1,1,6,15,0.0,3,4,0,5,0,0.0,0.0,296,0.0,0.0,34,0.0,6,3090,Nicolás Hernán Otamendi,Argentina
1.0,0.0,173,20,17,124,4,3,6,6,5,0.0,4,11,0,3,7,1.0,0.0,158,1.0,1.0,142,0.0,6,3094,Bamidele Alli,England
0.0,0.0,53,24,0,75,2,0,1,0,0,1.0,0,0,77,0,0,0.0,0.0,138,0.0,0.0,0,0.0,0,3099,Hugo Lloris,France
0.0,0.0,246,8,6,216,23,0,0,5,7,0.0,8,1,0,1,0,0.0,0.0,277,0.0,0.0,23,0.0,6,3101,Vincent Kompany,Belgium
1.0,0.0,21,5,1,15,1,0,0,0,3,0.0,2,3,0,2,3,0.0,0.0,14,0.0,0.0,32,0.0,1,3145,Keita Baldé Diao,Senegal
0.0,0.0,72,5,2,73,2,1,0,0,3,0.0,2,2,0,0,0,0.0,0.0,86,0.0,0.0,12,0.0,0,3167,Antonio Rüdiger,Germany
0.0,0.0,70,3,7,52,3,0,1,6,13,0.0,8,4,0,0,0,0.0,0.0,86,0.0,0.0,57,0.0,0,3168,João Filipe Iria Santos Moutinho,Portugal
0.0,0.0,42,16,0,47,0,0,0,0,0,0.0,1,0,70,0,0,0.0,0.0,89,0.0,0.0,0,0.0,0,3175,Eiji Kawashima,Japan
0.0,0.0,199,20,4,187,5,2,6,5,7,0.0,10,1,0,8,3,0.0,0.0,236,0.0,0.0,115,1.0,6,3176,Thomas Meunier,Belgium
0.0,0.0,89,3,0,79,0,2,7,1,5,0.0,4,1,0,0,1,0.0,0.0,81,0.0,0.0,18,0.0,6,3186,Julian Draxler,Germany
1.0,0.0,141,15,3,125,1,6,10,4,7,0.0,3,4,0,4,7,0.0,0.0,132,0.0,0.0,80,0.0,2,3193,Bernardo Mota Veiga de Carvalho e Silva,Portugal
0.0,0.0,135,6,2,70,0,1,3,1,5,0.0,2,5,0,1,9,0.0,0.0,81,2.0,2.0,82,0.0,12,3196,Wahbi Khazri,Tunisia
1.0,0.0,165,13,9,106,4,4,17,5,12,0.0,8,4,0,6,12,3.0,0.0,95,1.0,1.0,132,0.0,10,3202,Gabriel Fernando de Jesus,Brazil
0.0,1.0,313,29,7,312,27,2,7,0,7,0.0,3,5,0,3,2,0.0,0.0,385,1.0,1.0,36,0.0,0,3205,Kyle Walker,England
0.0,0.0,2,0,0,1,0,0,0,0,0,0.0,0,1,0,0,0,0.0,0.0,0,0.0,0.0,2,0.0,0,3226,Bassem Srarfi,Tunisia
2.0,0.0,250,9,6,173,0,6,23,1,1,0.0,12,8,0,0,16,0.0,0.0,135,0.0,0.0,82,0.0,11,3233,Raheem Sterling,England
1.0,0.0,108,6,2,56,0,6,2,2,4,0.0,0,3,0,1,2,0.0,0.0,63,0.0,0.0,36,0.0,6,3237,Sergio Leonel Agüero del Castillo,Argentina
0.0,0.0,63,20,0,77,0,0,0,0,0,0.0,0,0,30,0,0,0.0,0.0,111,0.0,0.0,1,0.0,0,3240,Mathew Ryan,Australia
0.0,0.0,414,22,13,400,25,0,0,8,12,0.0,4,3,0,5,2,0.0,0.0,479,0.0,0.0,48,1.0,6,3244,John Stones,England
0.0,0.0,60,2,2,55,0,1,4,2,1,0.0,1,1,0,0,1,0.0,0.0,54,0.0,0.0,10,0.0,1,3245,Thomas Lemar,France
0.0,0.0,25,3,2,25,0,0,1,0,1,0.0,2,0,0,1,0,1.0,0.0,42,0.0,0.0,13,0.0,0,3252,Oussama Haddadi,Tunisia
