player_id,player_name,team_name,50/50,Ball Receipt*,Ball Recovery,Block,Carry,Clearance,Dispossessed,Dribble,Dribbled Past,Duel,Error,Foul Committed,Foul Won,Goal Keeper,Interception,Miscontrol,Offside,Own Goal Against,Pass,Pressure,Shield,Shot,Player Off,Player On,Bad Behaviour
2941,Ismaïla Sarr,Senegal,1.0,148,17,4,102,1,7,13,2,13,0.0,3,17,0,3,11,1.0,0.0,81,51,0.0,10,0.0,0.0,0.0
2954,Youri Tielemans,Belgium,1.0,56,2,5,45,0,1,1,2,5,0.0,2,1,0,3,0,0.0,0.0,61,17,0.0,0,0.0,0.0,0.0
2972,Marcus Thuram,France,0.0,70,8,3,50,3,5,7,0,13,0.0,3,5,0,2,8,0.0,0.0,45,30,1.0,1,0.0,0.0,0.0
2988,Memphis Depay,Netherlands,0.0,211,8,4,111,1,8,13,1,8,1.0,4,6,0,1,11,0.0,0.0,127,45,0.0,10,0.0,0.0,1.0
2989,Alexander Djiku,Ghana,0.0,19,3,1,19,10,0,1,0,1,0.0,1,2,0,4,0,0.0,0.0,27,5,0.0,0,0.0,0.0,0.0
2995,Ángel Fabián Di María Hernández,Argentina,3.0,201,11,4,184,0,6,29,4,3,0.0,0,7,0,2,5,0.0,0.0,164,34,0.0,7,0.0,0.0,0.0
3009,Kylian Mbappé Lottin,France,0.0,361,30,2,298,0,17,50,1,6,0.0,8,10,0,1,21,0.0,0.0,233,37,0.0,32,1.0,1.0,0.0
3026,Adrien Rabiot,France,2.0,271,24,17,220,7,9,3,6,19,0.0,9,6,0,10,5,0.0,0.0,285,84,0.0,9,0.0,0.0,0.0
3034,Kamil Glik,Poland,0.0,109,7,7,95,26,0,0,1,7,0.0,2,1,0,4,0,0.0,0.0,130,15,0.0,3,2.0,2.0,0.0
3043,Christian Dannemann Eriksen,Denmark,0.0,203,16,8,187,0,4,6,2,7,0.0,4,1,0,3,5,0.0,0.0,231,32,0.0,4,0.0,0.0,0.0
3053,Leroy Sané,Germany,0.0,62,4,1,52,1,3,4,3,5,0.0,0,0,0,1,1,0.0,0.0,56,14,0.0,3,0.0,0.0,0.0
3063,Danilo Luiz da Silva,Brazil,0.0,219,11,2,205,8,1,1,1,8,1.0,3,1,0,1,1,0.0,0.0,267,14,1.0,2,0.0,0.0,0.0
3067,Ederson Santana de Moraes,Brazil,0.0,14,10,0,19,0,0,0,0,0,0.0,0,0,8,0,0,0.0,0.0,30,0,0.0,0,0.0,0.0,0.0
3077,Jan Vertonghen,Belgium,0.0,231,10,5,214,18,0,0,1,4,0.0,0,6,0,3,0,0.0,0.0,264,15,0.0,2,0.0,0.0,0.0
3083,Heung-Min Son,South Korea,2.0,158,14,3,120,1,14,9,3,10,1.0,1,6,0,1,7,0.0,0.0,122,36,0.0,9,0.0,0.0,0.0
3086,Ben Davies,Wales,0.0,109,18,7,105,11,1,3,2,8,1.0,1,3,0,2,1,0.0,0.0,160,25,0.0,3,0.0,0.0,0.0
3089,Kevin De Bruyne,Belgium,2.0,131,15,3,116,1,4,7,2,5,0.0,0,2,0,1,6,0.0,0.0,140,25,0.0,7,0.0,0.0,0.0
3090,Nicolás Hernán Otamendi,Argentina,0.0,475,28,8,445,34,0,0,4,26,1.0,13,6,0,10,1,0.0,0.0,565,54,1.0,1,0.0,0.0,2.0
3099,Hugo Lloris,France,0.0,74,16,0,73,0,0,0,0,0,0.0,0,1,94,0,0,0.0,0.0,182,0,0.0,0,0.0,0.0,0.0
3135,Chang-Hoon Kwon,South Korea,0.0,27,3,0,20,0,2,0,0,3,0.0,0,0,0,0,0,0.0,0.0,23,11,0.0,0,0.0,0.0,0.0
3141,André-Frank Zambo Anguissa,Cameroon,2.0,125,10,6,105,2,3,3,1,7,0.0,6,5,0,6,6,0.0,0.0,134,57,0.0,1,0.0,0.0,0.0
3167,Antonio Rüdiger,Germany,0.0,218,16,5,193,9,0,0,0,4,1.0,0,3,0,0,0,0.0,0.0,247,14,1.0,6,0.0,0.0,0.0
3176,Thomas Meunier,Belgium,0.0,117,8,4,109,4,3,2,4,9,0.0,4,1,0,6,3,0.0,0.0,142,24,0.0,3,0.0,0.0,0.0
3193,Bernardo Mota Veiga de Carvalho e Silva,Portugal,1.0,272,26,3,238,1,3,5,1,14,0.0,2,3,0,2,5,0.0,0.0,292,57,1.0,1,0.0,0.0,0.0
3196,Wahbi Khazri,Tunisia,1.0,31,8,0,27,0,3,1,0,4,0.0,1,2,0,0,3,0.0,0.0,20,10,0.0,5,0.0,0.0,0.0
3202,Gabriel Fernando de Jesus,Brazil,0.0,48,8,0,30,0,1,1,1,5,0.0,1,5,0,1,1,0.0,0.0,27,15,0.0,2,0.0,0.0,0.0
3205,Kyle Walker,England,0.0,138,8,4,134,4,1,3,5,5,0.0,3,3,0,7,1,0.0,0.0,177,17,0.0,0,0.0,0.0,0.0
3233,Raheem Sterling,England,0.0,77,4,1,54,0,3,3,3,4,0.0,0,4,0,1,5,0.0,0.0,58,17,0.0,1,0.0,0.0,0.0
3240,Mathew Ryan,Australia,0.0,79,20,0,84,1,1,1,0,0,0.0,0,1,75,0,0,0.0,0.0,163,0,0.0,0,0.0,0.0,0.0
3244,John Stones,England,0.0,416,10,6,380,10,0,1,1,7,0.0,4,3,0,2,0,0.0,0.0,450,14,0.0,4,0.0,0.0,0.0
3247,Fábio Henrique Tavares,Brazil,0.0,43,2,0,37,3,0,0,0,10,0.0,2,0,0,2,1,0.0,0.0,56,15,0.0,0,0.0,0.0,0.0
3264,Vincent Janssen,Netherlands,0.0,36,3,3,16,0,2,1,1,3,0.0,2,2,0,0,3,0.0,0.0,20,17,0.0,2,0.0,0.0,0.0
3280,Richarlison de Andrade,Brazil,0.0,108,18,6,66,4,4,7,0,13,0.0,6,6,0,1,13,1.0,0.0,54,59,0.0,8,0.0,0.0,0.0
3281,Aaron Mooy,Australia,0.0,162,32,7,155,10,5,5,4,17,0.0,6,1,0,3,5,0.0,0.0,219,44,0.0,1,0.0,0.0,0.0
3289,Romelu Lukaku Menama,Belgium,0.0,20,2,1,8,1,1,1,0,0,0.0,1,1,0,0,1,0.0,0.0,9,8,0.0,5,0.0,0.0,0.0
3295,Thiago Emiliano da Silva,Brazil,0.0,292,12,4,263,10,0,1,1,11,0.0,2,3,0,8,0,0.0,0.0,335,22,0.0,2,0.0,0.0,0.0
3300,Maya Yoshida,Japan,0.0,186,9,10,163,26,1,3,0,12,0.0,4,5,0,9,1,0.0,0.0,227,22,0.0,1,0.0,0.0,0.0
3306,Nathan Aké,Netherlands,0.0,301,12,14,276,17,1,0,1,17,0.0,5,6,0,10,0,0.0,0.0,352,49,0.0,0,0.0,0.0,0.0
3308,Kieran Trippier,England,0.0,141,9,3,118,3,1,1,1,8,0.0,2,0,0,1,1,0.0,0.0,195,28,0.0,1,0.0,0.0,0.0
3311,Daley Blind,Netherlands,0.0,261,13,10,208,6,2,2,5,20,0.0,4,1,0,5,3,0.0,0.0,304,83,0.0,5,0.0,0.0,0.0
3318,Marcus Rashford,England,0.0,97,6,1,70,1,0,10,1,7,0.0,1,1,0,1,4,0.0,0.0,67,17,0.0,11,0.0,0.0,0.0
3336,Harry Maguire,England,0.0,360,15,5,325,21,0,3,2,13,0.0,6,2,0,5,0,0.0,0.0,408,17,0.0,6,1.0,1.0,0.0
3347,André Ayew Pelé,Ghana,0.0,71,5,3,36,3,4,2,1,18,0.0,2,7,0,0,4,0.0,0.0,37,31,0.0,2,0.0,0.0,0.0
3377,Timothy Weah,United States,0.0,145,13,7,102,0,2,4,2,5,0.0,1,2,0,0,8,0.0,0.0,109,26,0.0,5,0.0,0.0,0.0
3382,Luke Shaw,England,0.0,322,15,4,302,6,3,1,2,10,0.0,5,5,0,3,3,0.0,0.0,402,31,1.0,3,0.0,0.0,0.0
3404,Youssouf Sabaly,Senegal,0.0,186,26,5,169,15,3,4,1,8,0.0,3,13,0,4,6,0.0,0.0,222,47,1.0,2,0.0,0.0,0.0
