country,country_clean,roster_name,position,shirt_number,player_id,database_name,database_team,matched,match_method
Algeria (ALG),Algeria,MASTIL Melvin,Goalkeeper,1,,,,False,unmatched
Algeria (ALG),Algeria,ABADA Achref,Defender,3,,,,False,unmatched
Algeria (ALG),Algeria,BELAID Zineddine,Defender,5,,,,False,unmatched
Algeria (ALG),Algeria,GOUIRI Amine,Forward,9,,,,False,unmatched
Algeria (ALG),Algeria,HADJ MOUSSA,Forward,11,,,,False,unmatched
Algeria (ALG),Algeria,BENBOUALI Nadhir,Forward,12,,,,False,unmatched
Algeria (ALG),Algeria,HADJAM Jaouen,Defender,13,,,,False,unmatched
Algeria (ALG),Algeria,BENBOT Oussama,Goalkeeper,16,,,,False,unmatched
Algeria (ALG),Algeria,BELGHALI Ra,Defender,17,,,,False,unmatched
Algeria (ALG),Algeria,BOULBINA Adil,Forward,20,,,,False,unmatched
Algeria (ALG),Algeria,MAZA Ibrahim,Midfielder,22,,,,False,unmatched
Algeria (ALG),Algeria,ZIDANE Luca,Goalkeeper,23,,,,False,unmatched
Algeria (ALG),Algeria,TITRAOUI Yassine,Midfielder,24,,,,False,unmatched
Algeria (ALG),Algeria,GHEDJEMIS Fares,Forward,25,,,,False,unmatched
Algeria (ALG),Algeria,CHERGUI Samir,Defender,26,,,,False,unmatched
Argentina (ARG),Argentina,MUSSO Juan,Goalkeeper,1,,,,False,unmatched
Argentina (ARG),Argentina,SENESI Marcos,Defender,2,,,,False,unmatched
Argentina (ARG),Argentina,BARCO Valentin,Midfielder,8,,,,False,unmatched
Argentina (ARG),Argentina,RULLI Geronimo,Goalkeeper,12,,,,False,unmatched
Argentina (ARG),Argentina,SIMEONE Giuliano,Forward,17,,,,False,unmatched
Argentina (ARG),Argentina,PAZ Nico,Forward,18,,,,False,unmatched
Argentina (ARG),Argentina,LOPEZ Jose,Forward,21,,,,False,unmatched
Argentina (ARG),Argentina,MEDINA Facundo,Defender,25,,,,False,unmatched
Australia (AUS),Australia,CIRCATI Alessandro,Defender,3,,,,False,unmatched
Australia (AUS),Australia,ITALIANO Jacob,Defender,4,,,,False,unmatched
Australia (AUS),Australia,BOS Jordan,Defender,5,,,,False,unmatched
Australia (AUS),Australia,GERIA Jason,Defender,6,,,,False,unmatched
Australia (AUS),Australia,METCALFE Connor,Midfielder,8,,,,False,unmatched
Australia (AUS),Australia,TOURE Mohamed,Forward,9,,,,False,unmatched
Australia (AUS),Australia,IZZO Paul,Goalkeeper,12,,,,False,unmatched
Australia (AUS),Australia,ONEILL Aiden,Midfielder,13,,,,False,unmatched
Australia (AUS),Australia,DEVLIN Cameron,Midfielder,14,,,,False,unmatched
Australia (AUS),Australia,TREWIN Kai,Defender,15,,,,False,unmatched
Australia (AUS),Australia,IRANKUNDA Nestory,Forward,17,,,,False,unmatched
Australia (AUS),Australia,BEACH Patrick,Goalkeeper,18,,,,False,unmatched
Australia (AUS),Australia,VOLPATO Cristian,Forward,20,,,,False,unmatched
Australia (AUS),Australia,BURGESS Cameron,Defender,21,,,,False,unmatched
Australia (AUS),Australia,VELUPILLAY Nishan,Forward,23,,,,False,unmatched
Australia (AUS),Australia,OKON-ENGSTLER Paul,Midfielder,24,,,,False,unmatched
Australia (AUS),Australia,HERRINGTON Lucas,Defender,25,,,,False,unmatched
