match_id,team_name,Ball Receipt*,Ball Recovery,Block,Carry,Clearance,Dispossessed,Dribble,Dribbled Past,Duel,Error,Foul Committed,Foul Won,Goal Keeper,Interception,Miscontrol,Own Goal Against,Pass,Player Off,Player On,Pressure,Shot,Offside,Shield,Bad Behaviour,50/50
7525,Russia,339,52,16,269,9,19,12,4,26,0.0,23,12,6,4,11,0.0,388,0.0,0.0,147,14,0.0,0.0,0.0,3.0
7525,Saudi Arabia,527,49,22,440,16,13,11,9,43,0.0,12,23,16,7,15,0.0,572,0.0,0.0,121,6,0.0,0.0,0.0,3.0
7529,Croatia,484,34,14,399,22,6,10,12,24,1.0,21,12,15,14,11,0.0,503,1.0,1.0,160,11,0.0,1.0,0.0,0.0
7529,Nigeria,392,47,15,317,16,10,16,7,23,0.0,15,20,14,6,11,1.0,425,2.0,2.0,152,13,0.0,0.0,0.0,0.0
7530,Australia,415,48,16,345,19,13,5,14,39,0.0,20,15,15,15,9,1.0,444,0.0,0.0,113,5,0.0,0.0,0.0,1.0
7530,France,522,50,13,454,9,20,25,3,22,0.0,17,20,6,7,4,0.0,549,0.0,0.0,136,12,0.0,0.0,0.0,1.0
7531,Argentina,755,54,13,698,10,18,15,6,19,0.0,11,17,11,3,9,0.0,796,0.0,0.0,84,28,0.0,0.0,0.0,3.0
7531,Iceland,202,33,26,152,20,8,7,9,39,0.0,17,9,31,28,10,0.0,224,1.0,1.0,176,9,0.0,0.0,0.0,3.0
7532,Denmark,385,34,19,323,16,9,11,14,28,0.0,21,11,19,11,10,0.0,402,1.0,1.0,170,11,0.0,1.0,0.0,2.0
7532,Peru,410,44,19,350,20,10,17,8,28,0.0,12,19,12,8,14,0.0,435,1.0,1.0,121,17,1.0,0.0,0.0,2.0
7533,Brazil,544,54,17,535,11,13,31,11,16,0.0,12,21,8,22,15,0.0,555,1.0,1.0,234,21,1.0,1.0,0.0,0.0
7533,Switzerland,452,38,22,397,21,2,20,25,24,1.0,21,11,21,15,7,0.0,458,2.0,2.0,266,7,0.0,0.0,0.0,0.0
7534,Germany,602,50,16,527,4,12,15,17,22,0.0,13,13,13,6,5,0.0,619,0.0,0.0,165,26,0.0,0.0,0.0,1.0
7534,Mexico,311,36,32,290,23,4,27,11,26,1.0,15,11,27,17,8,0.0,324,0.0,0.0,324,12,0.0,1.0,1.0,1.0
7535,Costa Rica,432,49,17,363,12,15,16,10,27,0.0,18,13,14,9,12,0.0,481,1.0,1.0,97,10,1.0,0.0,0.0,1.0
7535,Serbia,383,41,19,338,23,11,15,11,34,0.0,13,18,12,6,16,0.0,439,0.0,0.0,126,12,0.0,0.0,1.0,1.0
7536,Belgium,597,38,10,544,7,8,17,8,23,0.0,17,20,7,12,9,0.0,610,0.0,0.0,192,15,0.0,1.0,1.0,0.0
7536,Panama,353,41,13,298,19,5,18,7,29,1.0,20,16,17,15,13,0.0,364,3.0,3.0,237,7,1.0,0.0,1.0,0.0
7537,England,557,44,11,475,4,9,29,9,14,0.0,9,14,6,6,11,0.0,570,0.0,0.0,188,18,1.0,1.0,0.0,0.0
7537,Tunisia,341,34,24,325,12,5,14,18,36,1.0,15,9,20,13,12,0.0,368,1.0,1.0,265,6,0.0,1.0,0.0,0.0
7538,South Korea,352,40,17,309,23,8,17,7,26,0.0,22,19,22,8,11,0.0,382,0.0,0.0,148,5,0.0,0.0,0.0,0.0
7538,Sweden,448,41,14,385,17,9,10,10,28,0.0,19,22,6,7,12,0.0,477,1.0,1.0,115,16,0.0,0.0,0.0,0.0
7539,Poland,567,34,8,460,12,6,11,12,17,1.0,7,16,9,11,17,1.0,585,1.0,1.0,148,10,1.0,0.0,0.0,0.0
7539,Senegal,365,45,16,288,16,4,18,7,21,0.0,17,7,12,18,12,0.0,382,0.0,0.0,221,7,0.0,0.0,0.0,0.0
7540,Egypt,448,52,22,334,22,6,13,9,32,0.0,11,9,16,13,14,1.0,484,0.0,0.0,164,15,0.0,1.0,0.0,0.0
7540,Russia,426,50,19,323,26,10,10,8,26,0.0,10,11,16,8,12,0.0,467,0.0,0.0,184,12,0.0,0.0,1.0,0.0
7541,Colombia,410,42,11,358,7,8,24,9,34,1.0,15,11,16,13,15,0.0,422,0.0,0.0,248,10,1.0,0.0,0.0,2.0
7541,Japan,597,30,15,559,16,16,13,12,31,0.0,11,14,10,19,5,0.0,630,0.0,0.0,172,14,0.0,0.0,0.0,2.0
7542,Morocco,494,61,17,394,13,14,26,6,29,0.0,23,17,12,14,8,0.0,519,0.0,0.0,120,17,0.0,0.0,0.0,1.0
7542,Portugal,352,50,34,267,27,19,7,15,37,0.0,18,21,18,6,9,0.0,397,0.0,0.0,122,12,0.0,0.0,0.0,1.0
7543,Iran,226,49,27,176,20,2,13,20,19,1.0,14,15,19,12,9,0.0,262,0.0,0.0,255,6,0.0,0.0,0.0,1.0
7543,Spain,799,50,4,685,10,5,29,10,12,0.0,15,14,9,6,15,0.0,816,0.0,0.0,139,18,0.0,0.0,0.0,1.0
7544,Saudi Arabia,561,45,16,488,8,8,27,9,19,1.0,12,11,16,18,16,0.0,584,1.0,1.0,173,8,0.0,0.0,0.0,0.0
7544,Uruguay,491,44,16,410,13,11,13,18,17,0.0,13,12,11,10,14,0.0,511,0.0,0.0,240,14,1.0,0.0,0.0,0.0
7545,Argentina,521,48,19,455,7,7,18,16,30,1.0,20,22,15,11,9,0.0,535,1.0,1.0,236,10,0.0,1.0,1.0,2.0
7545,Croatia,344,41,16,251,15,13,20,13,18,0.0,23,19,13,12,6,0.0,382,2.0,2.0,194,14,0.0,1.0,0.0,2.0
7546,France,427,50,16,371,12,11,25,16,30,0.0,11,14,12,24,10,0.0,435,1.0,1.0,329,12,0.0,2.0,0.0,0.0
7546,Peru,514,57,10,434,12,15,22,15,29,0.0,14,9,15,11,11,0.0,548,0.0,0.0,161,12,0.0,0.0,1.0,0.0
7547,Australia,514,38,16,424,15,15,17,14,21,1.0,6,6,11,4,11,0.0,533,0.0,0.0,168,13,0.0,0.0,0.0,0.0
7547,Denmark,444,37,20,418,18,8,17,12,28,0.0,7,6,14,10,16,0.0,478,0.0,0.0,152,10,0.0,1.0,1.0,0.0
7548,Brazil,705,62,19,703,9,17,19,7,27,0.0,11,16,5,4,14,0.0,750,1.0,1.0,105,23,2.0,1.0,2.0,1.0
7548,Costa Rica,250,50,23,211,28,16,9,16,27,1.0,17,11,26,8,12,0.0,294,0.0,0.0,148,4,2.0,0.0,1.0,1.0
7549,Iceland,319,46,13,248,20,13,15,12,29,0.0,12,10,18,7,11,0.0,339,1.0,1.0,285,10,0.0,0.0,0.0,1.0
7549,Nigeria,474,55,9,395,22,10,15,11,25,0.0,10,12,14,8,14,0.0,529,1.0,1.0,132,17,0.0,0.0,0.0,1.0
7550,Serbia,341,39,10,281,12,9,16,13,32,1.0,20,13,21,13,18,0.0,347,1.0,1.0,296,12,0.0,0.0,1.0,0.0
7550,Switzerland,543,53,10,461,9,9,25,8,28,0.0,13,20,14,8,15,0.0,554,0.0,0.0,147,19,0.0,1.0,1.0,0.0
7551,Germany,699,44,15,637,11,5,9,5,26,0.0,12,16,8,3,9,0.0,718,1.0,1.0,169,18,2.0,0.0,0.0,3.0
7551,Sweden,207,25,27,143,38,4,15,7,16,1.0,17,10,23,9,6,0.0,234,0.0,0.0,194,7,0.0,1.0,0.0,3.0
7552,Belgium,454,50,8,419,10,11,8,3,15,0.0,13,15,19,16,10,0.0,475,1.0,1.0,160,23,0.0,0.0,0.0,0.0
7552,Tunisia,432,37,17,325,9,8,5,6,14,0.0,15,12,27,9,12,0.0,467,3.0,3.0,272,17,0.0,1.0,0.0,0.0
7553,Mexico,459,38,20,448,9,11,21,15,28,0.0,8,23,19,13,11,0.0,495,0.0,0.0,110,14,0.0,0.0,0.0,3.0
7553,South Korea,329,38,14,332,10,13,24,14,24,0.0,26,8,17,5,10,0.0,360,1.0,1.0,227,17,0.0,0.0,0.0,3.0
7554,England,589,30,12,549,12,7,9,4,16,0.0,14,12,8,5,12,0.0,607,0.0,0.0,172,11,0.0,0.0,0.0,0.0
7554,Panama,396,30,6,327,8,6,8,6,23,0.0,13,14,12,7,12,0.0,406,1.0,1.0,169,8,0.0,0.0,1.0,0.0
7555,Colombia,525,80,17,498,22,11,26,10,38,1.0,11,17,12,9,14,0.0,548,0.0,0.0,220,13,0.0,0.0,0.0,2.0
7555,Poland,405,46,19,297,25,9,18,19,33,0.0,17,10,16,18,14,0.0,448,1.0,1.0,202,11,0.0,0.0,0.0,2.0
7556,Japan,442,44,10,354,20,9,10,6,33,0.0,9,15,16,8,13,0.0,476,1.0,1.0,146,7,0.0,1.0,0.0,1.0
7556,Senegal,338,46,10,305,7,6,11,8,25,0.0,15,9,7,9,15,0.0,392,0.0,0.0,139,15,0.0,0.0,1.0,1.0
7557,Iran,211,38,18,157,11,2,12,17,25,0.0,16,8,21,18,14,0.0,239,0.0,0.0,141,9,0.0,0.0,1.0,1.0
7557,Portugal,610,49,15,578,10,9,21,7,18,0.0,9,16,10,7,10,0.0,630,1.0,1.0,163,15,0.0,0.0,0.0,1.0
7558,Russia,343,31,18,257,20,11,10,6,15,1.0,19,19,18,7,9,1.0,380,0.0,0.0,218,3,0.0,0.0,0.0,1.0
7558,Uruguay,502,37,12,462,9,4,8,8,27,0.0,19,18,6,6,18,0.0,526,1.0,1.0,146,16,0.0,2.0,0.0,1.0
7559,Egypt,367,36,15,295,21,10,12,15,15,0.0,17,9,22,12,7,0.0,379,1.0,1.0,178,8,0.0,1.0,0.0,0.0
