country,roster_name,position,shirt_number
Algeria (ALG),MASTIL Melvin,Goalkeeper,1
Algeria (ALG),ABADA Achref,Defender,3
Algeria (ALG),BELAID Zineddine,Defender,5
Algeria (ALG),GOUIRI Amine,Forward,9
Algeria (ALG),HADJ MOUSSA,Forward,11
Algeria (ALG),BENBOUALI Nadhir,Forward,12
Algeria (ALG),HADJAM Jaouen,Defender,13
Algeria (ALG),BOUDAOUI Hicham,Midfielder,14
Algeria (ALG),BENBOT Oussama,Goalkeeper,16
Algeria (ALG),BELGHALI Ra,Defender,17
Algeria (ALG),BOULBINA Adil,Forward,20
Algeria (ALG),MAZA Ibrahim,Midfielder,22
Algeria (ALG),ZIDANE Luca,Goalkeeper,23
Algeria (ALG),TITRAOUI Yassine,Midfielder,24
Algeria (ALG),GHEDJEMIS Fares,Forward,25
Algeria (ALG),CHERGUI Samir,Defender,26
Argentina (ARG),MUSSO Juan,Goalkeeper,1
Argentina (ARG),SENESI Marcos,Defender,2
Argentina (ARG),BARCO Valentin,Midfielder,8
Argentina (ARG),RULLI Geronimo,Goalkeeper,12
Argentina (ARG),GONZALEZ Nico,Midfielder,15
Argentina (ARG),SIMEONE Giuliano,Forward,17
Argentina (ARG),PAZ Nico,Forward,18
Argentina (ARG),LOPEZ Jose,Forward,21
Argentina (ARG),MEDINA Facundo,Defender,25
Australia (AUS),CIRCATI Alessandro,Defender,3
Australia (AUS),ITALIANO Jacob,Defender,4
Australia (AUS),BOS Jordan,Defender,5
Australia (AUS),GERIA Jason,Defender,6
Australia (AUS),METCALFE Connor,Midfielder,8
Australia (AUS),TOURE Mohamed,Forward,9
Australia (AUS),IZZO Paul,Goalkeeper,12
Australia (AUS),ONEILL Aiden,Midfielder,13
Australia (AUS),DEVLIN Cameron,Midfielder,14
Australia (AUS),TREWIN Kai,Defender,15
Australia (AUS),IRANKUNDA Nestory,Forward,17
Australia (AUS),BEACH Patrick,Goalkeeper,18
Australia (AUS),VOLPATO Cristian,Forward,20
Australia (AUS),BURGESS Cameron,Defender,21
Australia (AUS),VELUPILLAY Nishan,Forward,23
Australia (AUS),OKON-ENGSTLER Paul,Midfielder,24
Australia (AUS),HERRINGTON Lucas,Defender,25
Australia (AUS),YENGI Tete,Forward,26
Austria (AUT),SCHLAGER Alexander,Goalkeeper,1
Austria (AUT),AFFENGRUBER David,Defender,2
Austria (AUT),WIEGELE Florian,Goalkeeper,12
Austria (AUT),MWENE Phillip,Defender,16
Austria (AUT),CHUKWUEMEKA Carney,Midfielder,17
Austria (AUT),LJUBICIC Dejan,Midfielder,19
Austria (AUT),FRIEDL Marco,Defender,23
Austria (AUT),WANNER Paul,Midfielder,24
Austria (AUT),SVOBODA Michael,Defender,25
Austria (AUT),SCHOEPF Alessandro,Midfielder,26
Belgium (BEL),MECHELE Brandon,Defender,4
Belgium (BEL),DE CUYPER,Defender,5
Belgium (BEL),LAMMENS Senne,Goalkeeper,12
Belgium (BEL),PENDERS Mike,Goalkeeper,13
Belgium (BEL),DE WINTER,Defender,16
Belgium (BEL),SEYS Joaquin,Defender,18
Belgium (BEL),MOREIRA Diego,Midfielder,19
Belgium (BEL),SAELEMAEKERS Alexis,Midfielder,22
Belgium (BEL),RASKIN Nicolas,Midfielder,23
Belgium (BEL),NGOY Nathan,Defender,25
Belgium (BEL),FERNANDEZ-PARDO Matias,Forward,26
Bosnia And Herzegovina (BIH),VASILJ Nikola,Goalkeeper,1
Bosnia And Herzegovina (BIH),MUJAKIC Nihad,Defender,2
Bosnia And Herzegovina (BIH),HADZIKADUNIC Dennis,Defender,3
Bosnia And Herzegovina (BIH),MUHAREMOVIC Tarik,Defender,4
Bosnia And Herzegovina (BIH),KOLASINAC Sead,Defender,5
Bosnia And Herzegovina (BIH),TAHIROVIC Benjamin,Midfielder,6
Bosnia And Herzegovina (BIH),DEDIC Amar,Defender,7
Bosnia And Herzegovina (BIH),GIGOVIC Armin,Midfielder,8
Bosnia And Herzegovina (BIH),BAZDAR Samed,Forward,9
Bosnia And Herzegovina (BIH),DEMIROVIC Ermedin,Forward,10
Bosnia And Herzegovina (BIH),DZEKO Edin,Forward,11
Bosnia And Herzegovina (BIH),JURKAS Mladen,Goalkeeper,12
Bosnia And Herzegovina (BIH),BASIC Ivan,Midfielder,13
Bosnia And Herzegovina (BIH),SUNJIC Ivan,Midfielder,14
Bosnia And Herzegovina (BIH),MEMIC Amar,Midfielder,15
Bosnia And Herzegovina (BIH),HADZIAHMETOVIC Amir,Midfielder,16
Bosnia And Herzegovina (BIH),BURNIC Dzenis,Midfielder,17
Bosnia And Herzegovina (BIH),KATIC Nikola,Defender,18
Bosnia And Herzegovina (BIH),ALAJBEGOVIC Kerim,Forward,19
Bosnia And Herzegovina (BIH),BAJRAKTAREVIC Esmir,Forward,20
Bosnia And Herzegovina (BIH),RADELJIC Stjepan,Defender,21
Bosnia And Herzegovina (BIH),ZLOMISLIC Martin,Goalkeeper,22
Bosnia And Herzegovina (BIH),TABAKOVIC Haris,Forward,23
Bosnia And Herzegovina (BIH),MALIC Arjan,Defender,24
Bosnia And Herzegovina (BIH),LUKIC Jovo,Forward,25
Bosnia And Herzegovina (BIH),MAHMIC Ermin,Midfielder,26
Brazil (BRA),MARQUINHOS Marcos,Defender,4
Brazil (BRA),CASEMIRO Carlos,Midfielder,5
Brazil (BRA),MATHEUS CUNHA,Forward,9
Brazil (BRA),NEYMAR JR,Forward,10
Brazil (BRA),RAPHINHA Raphael,Forward,11
Brazil (BRA),LEO PEREIRA,Defender,15
Brazil (BRA),DOUGLAS SANTOS,Defender,16
Brazil (BRA),FABINHO Fabio,Midfielder,17
Brazil (BRA),DANILO SANTOS,Midfielder,18
Brazil (BRA),LUCAS PAQUETA,Midfielder,20
Brazil (BRA),LUIZ HENRIQUE,Forward,21
Brazil (BRA),EDERSON Ederson,Goalkeeper,23
Brazil (BRA),ROGER IBANEZ,Defender,24
Brazil (BRA),IGOR THIAGO,Forward,25
Brazil (BRA),RAYAN Rayan,Forward,26
Cabo Verde (CPV),VOZINHA Josimar,Goalkeeper,1
Cabo Verde (CPV),STOPIRA Ianique,Defender,2
Cabo Verde (CPV),DINEY BORGES,Defender,3
